Topic,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Category1,Country,Novelty_Score
Caffeine,soda,last year,-0.34,-34.0,0,-0.6666667,1.0,Motivation,Beverage,Canada,8.834928
Orange,soda,last 6 month,0.8074,80.74,0,-0.6666667,0.33333334,Ingredient,Beverage,Canada,8.834928
Orange,soda,last year,0.8074,80.74,0,-0.6666667,0.33333334,Ingredient,Beverage,Canada,8.834928
Orange,soda,last 3 month,0.8074,80.74,0,-0.6666667,0.33333334,Ingredient,Beverage,Canada,8.834928
Coke,ginger ale,last month,-0.120375,-1.4404429,8,0.5,0.25,Ingredient,Beverage,Canada,8.589969
Ginger Ale,ginger ale,last 3 month,0.23888572,-0.07431536,15,1.2857143,0.14285715,Ingredient,Beverage,Canada,8.589969
Coke,ginger ale,last 6 month,0.092999995,-0.0497359,24,0.3888889,0.11111111,Ingredient,Beverage,Canada,8.589969
Soda,soda,last year,0.25284445,-0.37376398,27,-0.42857143,0.037037037,Ingredient,Beverage,Canada,8.589969
#golfgalaxy,ginger ale,last year,0.0,-0.97732425,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#latenightshow,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#pop,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Cold Water,ginger ale,last month,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Ginger,ginger ale,last year,-0.5726111,0.7646392,5,0.2,0.0,Ingredient,Beverage,Canada,
Salmon,ginger ale,last 3 month,0.0,-0.9786689,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Salmon,ginger ale,last 6 month,0.0,-0.9786689,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
White,ginger ale,last 6 month,0.7264,72.64,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#WorldWaterDay2019,soda,last 3 month,0.0,-0.986969,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#coldbrew,soda,last year,0.0,-0.97927034,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#fizzydrink,soda,last year,0.937,93.7,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Cheese,soda,last 3 month,-0.296,-29.6,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Fountain,soda,last year,0.0,0.0,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Grape,soda,last 3 month,0.3612,36.12,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
