Topic,Topic2,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Perspective2,Category1,Country,Novelty_Score
#Coke,Human,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Motivation,Beverage,Canada,8.834928
#Pepsi,Flavoring,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#arcade,Coke,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#icecream,#lasertag,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
Coke,Vanilla,ginger ale,last year,0.0772,-1.3809762,3,0.0,0.0,Ingredient,Ingredient,Beverage,Canada,7.6868787
Cold,Coke,ginger ale,last 6 month,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cold,Ice,ginger ale,last 6 month,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cold,Tortellini,ginger ale,last year,-0.5719,-57.190002,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Ears,Ginger Ale,ginger ale,last year,-0.6369,-63.690002,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Juice,Diet,ginger ale,last 3 month,0.0,-1.0127162,0,-0.99502486,0.0,Ingredient,Motivation,Beverage,Canada,8.834928
Lime,#Drinks,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Lime,Ice,ginger ale,last 6 month,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Salmon,Alfredo,ginger ale,last 6 month,0.0,-0.9786689,0,-0.99502486,0.0,Ingredient,Brand,Beverage,Canada,8.834928
Salmon,Ginger Ale,ginger ale,last 6 month,0.0,-0.9786689,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sole,@nypost,ginger ale,last year,0.0,-0.97306037,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Sweet Pickles,Cola,ginger ale,last year,0.0,-0.90966576,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Vanilla,Coca Cola,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Ingredient,Brand,Beverage,Canada,8.834928
#Obesity,#Soda,soda,last year,0.0,-1.0379939,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#beverage,Sparkling Water,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#craft,Fresh Mint,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#fizzydrink,Human,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Motivation,Beverage,Canada,8.834928
#fizzyfriday,#coldbrew,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#happiness,Toasted,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#happy,Human,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Motivation,Beverage,Canada,8.834928
#stayinnandbeoutout,Sparkling Water,soda,last 6 month,0.296,29.6,4,400.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
Basil,Soda,soda,last year,0.0,0.0,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Carbonated,Shake,soda,last 3 month,-0.6705,-67.049995,2,200.0,0.0,Motivation,Motivation,Beverage,Canada,8.834928
Cheddar Cheese,Tomato,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Coffee,#delicious,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Cold,#coldbrew,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Cold,#whynot,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Cream,Onion,soda,last year,0.88,88.0,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Flat,Water,soda,last 3 month,-0.6705,-67.049995,2,200.0,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
Juice,Grape,soda,last year,0.3612,36.12,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Juice,Soda,soda,last 3 month,0.3612,36.12,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
